"2020/10/26 2:03:34 PM GMT+5:30","Female","4","2","3","4",""
"2020/10/26 2:07:28 PM GMT+5:30","Female","4","2","5","3",""
"2020/10/26 2:08:13 PM GMT+5:30","Female","5","5","5","2",""
"2020/10/26 2:09:45 PM GMT+5:30","Female","5","3","5","5",""
"2020/10/26 2:10:35 PM GMT+5:30","Female","5","3","4","4",""
"2020/10/26 2:13:51 PM GMT+5:30","Female","4","5","4","2",""
"2020/10/26 2:20:00 PM GMT+5:30","Female","2","4","5","3",""
"2020/10/26 2:22:20 PM GMT+5:30","Female","2","4","3","4",""
"2020/10/26 2:24:31 PM GMT+5:30","Female","3","4","5","5",""
"2020/10/26 2:25:08 PM GMT+5:30","Female","3","2","1","4",""
"2020/10/26 2:32:01 PM GMT+5:30","Female","1","2","2","2","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Rising intonation on declaratives, e.g. it’s really good?;Precise color terms, e.g. magenta, aquamarine"
"2020/10/26 2:34:31 PM GMT+5:30","Female","4","2","2","4","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Tag questions, e.g. she’s very nice, isn’t she?;‘Empty’ adjectives, e.g. divine, charming, cute.;‘Hypercorrect’ grammar, e.g. consistent use of standard verb forms.;‘Superpolite’ forms, e.g. indirect requests, euphemisms.;Emphatic stress, e.g. it was a BRILLIANT performance."
"2020/10/26 2:37:11 PM GMT+5:30","Female","4","4","5","3","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Avoidance of strong swear words, e.g. fudge, my goodness.;Emphatic stress, e.g. it was a BRILLIANT performance."
"2020/10/26 2:39:35 PM GMT+5:30","Female","3","4","1","3","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Tag questions, e.g. she’s very nice, isn’t she?;Rising intonation on declaratives, e.g. it’s really good?;Intensifiers such as just and so, e.g. I like him so much."
"2020/10/26 2:40:46 PM GMT+5:30","Female","2","5","1","3","Precise color terms, e.g. magenta, aquamarine;Avoidance of strong swear words, e.g. fudge, my goodness."
"2020/10/26 2:41:39 PM GMT+5:30","Female","5","1","2","5","Rising intonation on declaratives, e.g. it’s really good?;‘Empty’ adjectives, e.g. divine, charming, cute.;Intensifiers such as just and so, e.g. I like him so much.;‘Superpolite’ forms, e.g. indirect requests, euphemisms."
"2020/10/26 2:41:41 PM GMT+5:30","Female","3","3","3","4","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Tag questions, e.g. she’s very nice, isn’t she?;Rising intonation on declaratives, e.g. it’s really good?;Precise color terms, e.g. magenta, aquamarine;‘Hypercorrect’ grammar, e.g. consistent use of standard verb forms.;‘Superpolite’ forms, e.g. indirect requests, euphemisms."
"2020/10/26 2:41:45 PM GMT+5:30","Female","2","5","5","2","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Tag questions, e.g. she’s very nice, isn’t she?;Rising intonation on declaratives, e.g. it’s really good?;Precise color terms, e.g. magenta, aquamarine;‘Hypercorrect’ grammar, e.g. consistent use of standard verb forms.;‘Superpolite’ forms, e.g. indirect requests, euphemisms.;Emphatic stress, e.g. it was a BRILLIANT performance."
"2020/10/26 2:43:20 PM GMT+5:30","Female","2","2","4","3","Precise color terms, e.g. magenta, aquamarine;Intensifiers such as just and so, e.g. I like him so much.;Emphatic stress, e.g. it was a BRILLIANT performance."
"2020/10/26 2:46:35 PM GMT+5:30","Female","1","2","1","3","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Tag questions, e.g. she’s very nice, isn’t she?;Rising intonation on declaratives, e.g. it’s really good?;‘Empty’ adjectives, e.g. divine, charming, cute.;Precise color terms, e.g. magenta, aquamarine;Intensifiers such as just and so, e.g. I like him so much.;‘Hypercorrect’ grammar, e.g. consistent use of standard verb forms.;Emphatic stress, e.g. it was a BRILLIANT performance."
"2020/10/26 2:47:45 PM GMT+5:30","Female","4","2","4","3","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Tag questions, e.g. she’s very nice, isn’t she?;Rising intonation on declaratives, e.g. it’s really good?;Intensifiers such as just and so, e.g. I like him so much."
"2020/10/26 2:49:16 PM GMT+5:30","Female","3","5","2","5","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Tag questions, e.g. she’s very nice, isn’t she?;Intensifiers such as just and so, e.g. I like him so much.;‘Superpolite’ forms, e.g. indirect requests, euphemisms.;Avoidance of strong swear words, e.g. fudge, my goodness."
"2020/10/26 2:51:37 PM GMT+5:30","Female","2","5","2","5","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Tag questions, e.g. she’s very nice, isn’t she?;Rising intonation on declaratives, e.g. it’s really good?;‘Empty’ adjectives, e.g. divine, charming, cute.;Intensifiers such as just and so, e.g. I like him so much.;‘Superpolite’ forms, e.g. indirect requests, euphemisms.;Emphatic stress, e.g. it was a BRILLIANT performance."
"2020/10/26 2:51:46 PM GMT+5:30","Female","3","3","5","5","Lexical hedges or fillers, e.g. you know, sort of, well, you see.;Rising intonation on declaratives, e.g. it’s really good?;‘Superpolite’ forms, e.g. indirect requests, euphemisms.;Emphatic stress, e.g. it was a BRILLIANT performance."
